korisnik1	2022-08-28	22:24:48.263652900	0
korisnik1	2022-08-28	22:25:05.992543400	0
korisnik1	2022-08-28	22:26:30.121308600	0
korisnik2	2022-08-28	22:28:40.577181500	0
korisnik2	2022-08-28	22:28:50.796904	0
korisnik2	2022-08-28	22:29:03.473732700	0
vanjavanja	2022-08-28	23:04:02.984771700	0
vanjavanja	2022-08-28	23:04:22.459949300	0
vanjavanja	2022-08-28	23:04:54.318864500	0
12345678	2022-08-28	23:25:47.384676900	0
12345678	2022-08-28	23:26:11.793078400	0
12345678	2022-08-28	23:26:24.096970900	0
